Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
7,35,35,0,-383.24999999999784,-0.5271664374140272,100.0,237,[0.36914062 0.0546875  0.36914062 0.046875   0.16015625]
8,30,30,1,-576.6666666666632,-0.8899176954732457,100.0,429,[0.26043406 0.03505843 0.48914858 0.06677796 0.14858097]
10,25,25,2,-636.7500000000018,-1.117105263157898,100.0,404,[0.37806638 0.03030303 0.34343434 0.05194805 0.1962482 ]
10,25,25,3,-400.24999999999983,-0.70219298245614,100.0,169,[0.30925926 0.04259259 0.35185185 0.04814815 0.24814815]
10,45,45,4,-1351.58333333333,-1.5186329588014944,100.0,704,[0.41594828 0.02586207 0.29849138 0.03502155 0.22467672]
6,40,40,5,-418.16666666666106,-0.5188172043010683,100.0,296,[0.26627219 0.03944773 0.50887574 0.06903353 0.11637081]
10,45,45,6,-845.4166666666745,-0.9499063670412072,100.0,418,[0.39642325 0.04470939 0.27794337 0.04023845 0.24068554]
7,25,25,7,-244.25000000000077,-0.4307760141093488,100.0,240,[0.29320988 0.06481481 0.4691358  0.08950617 0.08333333]
5,25,25,8,-205.58333333333354,-0.36386430678466114,100.0,152,[0.22325581 0.05116279 0.53953488 0.08372093 0.10232558]
8,30,30,9,-537.4999999999955,-0.8294753086419683,100.0,342,[0.18949343 0.03939962 0.54596623 0.0750469  0.15009381]
9,25,25,10,-350.9166666666657,-0.616725248974808,100.0,278,[0.3872679 0.066313  0.4403183 0.0795756 0.0265252]
8,25,25,11,-320.9166666666669,-0.5649941314553995,100.0,231,[0.29257642 0.0371179  0.40393013 0.06113537 0.20524017]
8,40,40,12,-640.333333333333,-0.7924917491749172,100.0,432,[0.238653   0.03953148 0.50951684 0.0658858  0.14641288]
8,25,25,13,-359.999999999999,-0.6338028169014066,100.0,138,[0.26715686 0.04901961 0.51715686 0.07352941 0.09313725]
5,40,40,14,-772.0833333333361,-0.9591097308488647,100.0,690,[0.46458924 0.02832861 0.34844193 0.04674221 0.11189802]
9,45,45,15,-606.25,-0.6819460067491564,100.0,495,[0.24538259 0.04353562 0.40897098 0.04485488 0.25725594]
6,25,25,16,-138.9166666666667,-0.24543580683156663,100.0,134,[0.29050279 0.07821229 0.55307263 0.07821229 0.        ]
10,45,45,17,-1314.500000000003,-1.4769662921348348,100.0,438,[0.4935464  0.04056546 0.29010449 0.03318992 0.14259373]
10,25,25,18,-365.8333333333326,-0.6418128654970747,100.0,184,[0.30518234 0.03838772 0.45873321 0.06525912 0.13243762]
5,30,30,19,-273.5,-0.42403100775193797,100.0,159,[0.22672065 0.05263158 0.6194332  0.10121457 0.        ]
8,40,40,20,-447.99999999999596,-0.5544554455445495,100.0,175,[0.31083845 0.07157464 0.50920245 0.07157464 0.03680982]
5,25,25,21,-126.16666666666666,-0.22330383480825958,100.0,161,[0.37278107 0.0591716  0.44970414 0.05325444 0.06508876]
